,Mon,Tue,Wed,Thu,Fri,omega1
326,1.0,1.0,1.0,1.0,1.0,0.326
327,1.0,1.0,1.0,1.0,1.0,0.327
328,1.0,1.0,1.0,1.0,1.0,0.328
329,1.0,1.0,1.0,1.0,1.0,0.329
330,1.0,1.0,1.0,1.0,1.0,0.33
331,1.0,1.0,1.0,1.0,1.0,0.331
332,1.0,1.0,1.0,1.0,1.0,0.332
333,1.0,1.0,1.0,1.0,1.0,0.333
334,1.0,1.0,1.0,1.0,1.0,0.334
335,1.0,1.0,1.0,1.0,1.0,0.335
336,1.0,1.0,1.0,1.0,1.0,0.336
337,1.0,1.0,1.0,1.0,1.0,0.337
338,1.0,1.0,1.0,1.0,1.0,0.338
339,1.0,1.0,1.0,1.0,1.0,0.339
340,1.0,1.0,1.0,1.0,1.0,0.34
341,1.0,1.0,1.0,1.0,1.0,0.341
342,1.0,1.0,1.0,1.0,1.0,0.342
343,1.0,1.0,1.0,1.0,1.0,0.343
344,1.0,1.0,1.0,1.0,1.0,0.344
345,1.0,1.0,1.0,1.0,1.0,0.345
346,1.0,1.0,1.0,1.0,1.0,0.346
347,1.0,1.0,1.0,1.0,1.0,0.347
348,1.0,1.0,1.0,1.0,1.0,0.348
349,1.0,1.0,1.0,1.0,1.0,0.349
350,1.0,1.0,1.0,1.0,0.0,0.35
351,1.0,1.0,1.0,1.0,1.0,0.351
352,1.0,1.0,1.0,1.0,1.0,0.352
353,1.0,1.0,1.0,1.0,1.0,0.353
354,1.0,1.0,1.0,1.0,1.0,0.354
355,1.0,1.0,1.0,1.0,0.0,0.355
356,1.0,1.0,1.0,1.0,0.0,0.356
357,1.0,1.0,1.0,1.0,1.0,0.357
358,1.0,1.0,1.0,1.0,0.0,0.358
359,1.0,1.0,1.0,1.0,1.0,0.359
360,1.0,1.0,1.0,1.0,1.0,0.36
361,1.0,1.0,1.0,1.0,1.0,0.361
362,1.0,1.0,1.0,1.0,1.0,0.362
363,1.0,1.0,1.0,1.0,0.0,0.363
364,1.0,1.0,1.0,1.0,0.0,0.364
365,1.0,1.0,1.0,1.0,1.0,0.365
366,1.0,1.0,1.0,1.0,0.0,0.366
367,1.0,1.0,1.0,1.0,0.0,0.367
368,1.0,1.0,1.0,1.0,0.0,0.368
369,1.0,1.0,1.0,1.0,0.0,0.369
370,1.0,1.0,1.0,1.0,1.0,0.37
371,1.0,1.0,1.0,1.0,0.0,0.371
372,1.0,1.0,1.0,1.0,0.0,0.372
373,1.0,1.0,1.0,1.0,1.0,0.373
374,1.0,1.0,1.0,1.0,0.0,0.374
375,1.0,1.0,1.0,1.0,1.0,0.375
376,1.0,1.0,1.0,1.0,1.0,0.376
377,1.0,1.0,1.0,1.0,1.0,0.377
378,1.0,1.0,1.0,1.0,1.0,0.378
379,1.0,1.0,1.0,1.0,0.0,0.379
380,1.0,1.0,1.0,1.0,0.0,0.38
381,1.0,1.0,1.0,1.0,1.0,0.381
382,1.0,1.0,1.0,1.0,1.0,0.382
383,1.0,1.0,1.0,1.0,0.0,0.383
384,1.0,1.0,1.0,1.0,0.0,0.384
385,1.0,1.0,1.0,1.0,0.0,0.385
386,1.0,1.0,1.0,1.0,0.0,0.386
387,1.0,1.0,1.0,1.0,1.0,0.387
388,1.0,1.0,1.0,1.0,0.0,0.388
389,1.0,1.0,1.0,1.0,0.0,0.389
390,1.0,1.0,1.0,1.0,0.0,0.39
391,1.0,1.0,1.0,1.0,1.0,0.391
392,1.0,1.0,1.0,1.0,0.0,0.392
393,1.0,1.0,1.0,1.0,0.0,0.393
394,1.0,1.0,1.0,1.0,1.0,0.394
395,1.0,1.0,1.0,1.0,1.0,0.395
396,1.0,1.0,1.0,1.0,0.0,0.396
397,1.0,1.0,1.0,1.0,0.0,0.397
398,1.0,1.0,1.0,1.0,0.0,0.398
399,1.0,1.0,1.0,1.0,0.0,0.399
400,1.0,1.0,1.0,1.0,0.0,0.4
401,1.0,1.0,1.0,1.0,0.0,0.401
402,1.0,1.0,1.0,1.0,0.0,0.402
403,1.0,1.0,1.0,1.0,0.0,0.403
404,1.0,1.0,1.0,0.0,1.0,0.404
405,1.0,1.0,1.0,1.0,0.0,0.405
406,1.0,1.0,1.0,1.0,0.0,0.406
407,1.0,1.0,1.0,1.0,1.0,0.407
408,1.0,1.0,1.0,0.0,1.0,0.408
409,1.0,1.0,1.0,1.0,0.0,0.409
410,1.0,0.0,1.0,1.0,1.0,0.41
411,0.0,1.0,1.0,1.0,0.0,0.411
412,0.0,1.0,1.0,1.0,0.0,0.412
413,0.0,1.0,1.0,1.0,0.0,0.413
414,0.0,1.0,1.0,1.0,0.0,0.414
415,0.0,1.0,1.0,1.0,0.0,0.415
416,0.0,1.0,1.0,1.0,0.0,0.416
417,0.0,1.0,1.0,0.0,1.0,0.417
418,0.0,1.0,1.0,0.0,1.0,0.418
419,1.0,0.0,1.0,1.0,1.0,0.419
420,0.0,1.0,1.0,0.0,1.0,0.42
421,0.0,1.0,1.0,0.0,1.0,0.421
422,0.0,1.0,1.0,0.0,1.0,0.422
423,1.0,1.0,1.0,1.0,0.0,0.423
424,1.0,0.0,1.0,1.0,0.0,0.424
425,1.0,1.0,1.0,1.0,0.0,0.425
426,0.0,1.0,1.0,0.0,1.0,0.426
427,1.0,0.0,1.0,1.0,0.0,0.427
428,0.0,1.0,1.0,0.0,1.0,0.428
429,0.0,1.0,1.0,1.0,0.0,0.429
430,0.0,1.0,1.0,1.0,0.0,0.43
431,0.0,1.0,1.0,1.0,0.0,0.431
432,0.0,1.0,1.0,1.0,0.0,0.432
433,0.0,1.0,1.0,1.0,0.0,0.433
434,0.0,1.0,1.0,1.0,0.0,0.434
435,0.0,1.0,1.0,1.0,0.0,0.435
436,0.0,1.0,1.0,1.0,0.0,0.436
437,1.0,0.0,1.0,1.0,0.0,0.437
438,1.0,0.0,1.0,1.0,0.0,0.438
439,0.0,1.0,1.0,1.0,0.0,0.439
440,0.0,1.0,1.0,1.0,0.0,0.44
441,1.0,1.0,1.0,0.0,1.0,0.441
442,0.0,1.0,1.0,0.0,1.0,0.442
443,0.0,1.0,1.0,0.0,1.0,0.443
444,0.0,1.0,1.0,0.0,1.0,0.444
445,0.0,1.0,1.0,0.0,1.0,0.445
446,0.0,1.0,1.0,1.0,0.0,0.446
447,0.0,1.0,1.0,1.0,0.0,0.447
448,0.0,1.0,1.0,1.0,0.0,0.448
449,0.0,1.0,1.0,0.0,1.0,0.449
450,0.0,1.0,1.0,0.0,1.0,0.45
451,0.0,1.0,1.0,0.0,1.0,0.451
452,0.0,1.0,1.0,0.0,1.0,0.452
453,0.0,1.0,1.0,0.0,1.0,0.453
454,1.0,0.0,1.0,0.0,1.0,0.454
455,1.0,0.0,1.0,0.0,1.0,0.455
456,0.0,1.0,0.0,1.0,1.0,0.456
457,0.0,1.0,0.0,1.0,1.0,0.457
458,0.0,1.0,0.0,1.0,1.0,0.458
459,0.0,1.0,0.0,1.0,1.0,0.459
460,0.0,1.0,0.0,1.0,1.0,0.46
461,1.0,1.0,0.0,1.0,0.0,0.461
462,0.0,1.0,0.0,1.0,0.0,0.462
463,0.0,1.0,1.0,0.0,1.0,0.463
464,0.0,1.0,1.0,0.0,1.0,0.464
465,0.0,1.0,1.0,0.0,1.0,0.465
466,0.0,1.0,1.0,0.0,1.0,0.466
467,0.0,1.0,0.0,1.0,1.0,0.467
468,1.0,0.0,1.0,0.0,1.0,0.468
469,0.0,1.0,0.0,1.0,0.0,0.469
470,0.0,1.0,0.0,1.0,0.0,0.47
471,0.0,1.0,0.0,1.0,0.0,0.471
472,0.0,1.0,0.0,1.0,1.0,0.472
473,0.0,1.0,0.0,1.0,1.0,0.473
474,1.0,1.0,0.0,1.0,0.0,0.474
475,1.0,1.0,0.0,1.0,0.0,0.475
476,1.0,0.0,1.0,1.0,0.0,0.476
477,0.0,1.0,0.0,1.0,0.0,0.477
478,1.0,0.0,1.0,1.0,0.0,0.478
479,1.0,0.0,1.0,1.0,0.0,0.479
480,1.0,0.0,1.0,1.0,0.0,0.48
481,1.0,0.0,1.0,1.0,0.0,0.481
482,0.0,1.0,0.0,1.0,0.0,0.482
483,0.0,1.0,0.0,1.0,0.0,0.483
484,0.0,1.0,0.0,1.0,0.0,0.484
485,0.0,1.0,0.0,1.0,0.0,0.485
486,0.0,1.0,0.0,1.0,0.0,0.486
487,0.0,1.0,0.0,1.0,0.0,0.487
488,0.0,1.0,0.0,1.0,0.0,0.488
489,0.0,1.0,0.0,1.0,0.0,0.489
490,0.0,1.0,0.0,1.0,0.0,0.49
491,1.0,0.0,1.0,0.0,1.0,0.491
492,0.0,1.0,0.0,1.0,0.0,0.492
493,0.0,1.0,0.0,1.0,0.0,0.493
494,1.0,0.0,1.0,1.0,0.0,0.494
495,1.0,0.0,1.0,1.0,0.0,0.495
496,0.0,1.0,0.0,1.0,0.0,0.496
497,1.0,0.0,1.0,1.0,0.0,0.497
498,1.0,0.0,1.0,0.0,1.0,0.498
499,1.0,0.0,1.0,0.0,1.0,0.499
500,1.0,0.0,1.0,1.0,0.0,0.5
501,0.0,1.0,0.0,1.0,1.0,0.501
502,1.0,0.0,1.0,0.0,1.0,0.502
503,1.0,1.0,0.0,1.0,0.0,0.503
504,1.0,1.0,0.0,1.0,0.0,0.504
505,1.0,1.0,0.0,1.0,0.0,0.505
506,1.0,1.0,0.0,1.0,0.0,0.506
507,0.0,1.0,0.0,1.0,1.0,0.507
508,1.0,0.0,1.0,1.0,0.0,0.508
509,0.0,1.0,1.0,0.0,1.0,0.509
510,1.0,1.0,0.0,1.0,0.0,0.51
511,1.0,0.0,1.0,0.0,1.0,0.511
512,1.0,0.0,1.0,0.0,1.0,0.512
513,1.0,0.0,1.0,1.0,0.0,0.513
514,1.0,0.0,1.0,1.0,0.0,0.514
515,1.0,0.0,1.0,1.0,0.0,0.515
516,1.0,0.0,1.0,0.0,1.0,0.516
517,1.0,0.0,1.0,1.0,0.0,0.517
518,0.0,1.0,1.0,0.0,1.0,0.518
519,1.0,1.0,0.0,1.0,0.0,0.519
520,1.0,1.0,0.0,1.0,0.0,0.52
521,0.0,1.0,1.0,0.0,1.0,0.521
